"a_o","trimestre","proveedor","segmento","terminal","tecnolog_a","no_abonados"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","997"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2872"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","2319"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","14157"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","6565"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","38"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","3G","128"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","610"
"2018","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","TEL�FONO M�VIL","2G","357"
"2018","1","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","4G","0"
"2018","1","VIRGIN MOBILE COLOMBIA S.A.S.","PREPAGO","TEL�FONO M�VIL","3G","378131"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","1391"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","3G","13984"
"2018","4","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","12101"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","1652"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","TEL�FONO M�VIL","4G","291623"
"2018","1","UFF MOVIL SAS","PREPAGO","TEL�FONO M�VIL","2G","6489"
"2018","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","6882"
"2019","1","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","162"
"2019","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","3G","77"
"2019","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","188"
"2019","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","4835"
"2019","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","1938"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","20319"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","2G","51150"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","752"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2980"
"2018","1","EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP","PREPAGO","TEL�FONO M�VIL","4G","123628"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","2172"
"2019","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","13525"
